seed,Beh_Mic,Beh_Mac,His_Mic,His_Mac,Lat_Mic,Lat_Mac,Site_Mic,Site_Mac,Subs_Mic,Subs_Mac,model
38,0.9779394378455608,0.9087366299815788,0.7861659900086029,0.3412171518126995,0.9188060632587248,0.5245699037153744,0.9284654200059363,0.6959928761140226,0.6868154811315534,0.32796142511915866,276models
39,0.9773960990285304,0.9080818571845024,0.7891191370974641,0.3721202064431437,0.9181872607171064,0.5510848009223795,0.9286616256898642,0.7120092897417869,0.6881587354292125,0.3548003904939145,276models
40,0.9780048397402036,0.9021558008967534,0.7880525831232926,0.3407239723965917,0.9188412796635324,0.5396904143558128,0.928183688767476,0.697363859995385,0.6868708211962509,0.3309115886075477,276models
41,0.9781708599342962,0.91676842587239,0.7889279623285087,0.37240862022772814,0.9186501048945772,0.5526192809128885,0.9284352345161014,0.7021174188096195,0.687308510798859,0.34995897526875397,276models
42,0.977612428372348,0.9040167502615258,0.78585910419528,0.3344043859416289,0.9186199194047422,0.5314942039494299,0.9286565947748916,0.7002904275905827,0.6867651719818283,0.3289877889186958,276models
43,0.977531933732788,0.9038694580146288,0.7850591887146515,0.3351894908694827,0.9185947648298796,0.5322041467380333,0.9278969266140432,0.6925093742936543,0.6866393991075157,0.3295196937439388,276models
44,0.9775973356274306,0.9107132836881928,0.7907189680587209,0.3744953478096873,0.9184538992106496,0.550682128517044,0.9292854591464552,0.7014791504473147,0.6888278471205558,0.34988385584614945,276models
45,0.9776778302669906,0.9036621555964854,0.790004578132625,0.37049268402632146,0.9190626399223224,0.5521202559743682,0.9282289670022288,0.6945032740115763,0.6882442609837451,0.35156953144539416,276models
46,0.977491686413008,0.8791110929969455,0.7872526676426642,0.3333630290398866,0.9186299812346872,0.5466675525118883,0.9292049645068948,0.7009136886343151,0.6854521031740043,0.33055106619623337,276models
47,0.977672799352018,0.8872717211348763,0.7894360847407318,0.3725756204705116,0.9183532809111992,0.555719793509187,0.928837707713902,0.7034019659688311,0.6877311076565495,0.3463856479139419,276models
48,0.9780149015701486,0.9082339797685184,0.7867847925502212,0.3401502100706782,0.9187758777688898,0.5296235197628313,0.9275397316509952,0.6973130307318206,0.6870972123700138,0.32798627279248704,276models
49,0.9775621192226229,0.8890110157675959,0.7867093288256334,0.33029104641685025,0.9192387219463604,0.5459601380245208,0.928103194127916,0.7001573460745352,0.68817382817413,0.33588842530425395,276models
50,0.9779344069305884,0.9066186047039356,0.7905277932897656,0.38647600293351936,0.9182275080368868,0.5479952324957426,0.9289282641834068,0.7092341636890551,0.6887926307157483,0.3498465868257475,276models
